index,case_no,oh,post_level,pre_level
0,6401,0.027640,18,12
1,6402,0.030510,18,12
2,6403,0.033678,18,12
3,6404,0.037175,18,12
4,6405,0.041035,18,12
5,6406,0.045297,18,12
6,6407,0.050000,18,12
7,6408,0.027640,19,12
