MAXlevel 13, Oh 2.3e-02, Oha 4.6e-04, Bo 0.000, zWall 4, Ldomain 10, drillAMR 1
i dt t ke maxlevel r_b z_b r_base z_base q_jet q_l
0 6.917473e-08 0.00000000 0.000000e+00 12 1.770020e-02 -8.544922e-04 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
1 6.917473e-08 0.00000007 2.112219e-11 12 1.831055e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
2 4.432134e-06 0.00000450 1.944422e-08 12 1.831055e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
3 8.385117e-06 0.00001289 1.038349e-07 12 1.831055e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
4 1.200223e-05 0.00002489 3.600411e-07 12 1.831055e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
5 1.500278e-05 0.00003989 8.667090e-07 12 1.831055e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
6 1.828464e-05 0.00005818 1.716847e-06 12 1.831055e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
7 2.099348e-05 0.00007917 2.942883e-06 12 1.831055e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
8 2.274294e-05 0.00010191 4.506165e-06 12 1.831055e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
9 2.490893e-05 0.00012682 6.424260e-06 12 1.586914e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
10 2.767659e-05 0.00015450 8.717145e-06 12 1.586914e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
11 2.940637e-05 0.00018390 1.126659e-05 12 1.586914e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
12 2.940637e-05 0.00021331 1.387280e-05 12 1.586914e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
13 3.166840e-05 0.00024498 1.667646e-05 12 1.586914e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
14 3.166840e-05 0.00027665 1.943155e-05 12 1.586914e-02 -2.685547e-03 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
15 3.483524e-05 0.00031148 2.237931e-05 12 1.586914e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
16 3.483524e-05 0.00034632 2.523136e-05 12 1.586914e-02 -2.685547e-03 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
17 3.483524e-05 0.00038115 2.796949e-05 12 1.586914e-02 -2.685547e-03 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
18 3.483524e-05 0.00041599 3.058230e-05 12 1.586914e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
19 3.483524e-05 0.00045082 3.306807e-05 12 1.586914e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
20 3.483524e-05 0.00048566 3.543656e-05 11 1.586914e-02 -2.685547e-03 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
21 3.483524e-05 0.00052049 3.673447e-05 12 1.708984e-02 -1.611328e-02 2.441406e-03 -2.018066e+00 0.000000e+00 0.000000e+00
22 3.483524e-05 0.00055533 3.998870e-05 12 1.831055e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
23 3.483524e-05 0.00059016 4.205198e-05 12 1.831055e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
24 3.483524e-05 0.00062500 4.329734e-05 12 1.831055e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
25 4.807692e-05 0.00067308 4.511046e-05 12 1.098633e-02 -7.568359e-03 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
26 4.807692e-05 0.00072115 4.719397e-05 12 1.098633e-02 -7.568359e-03 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
27 4.807692e-05 0.00076923 4.954633e-05 12 8.544922e-03 -7.568359e-03 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
28 4.807692e-05 0.00081731 5.219213e-05 12 1.098633e-02 -7.568359e-03 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
