-1.9322703e+00    1.0000000e-08
-1.9322669e+00    2.6433038e-03
-1.9322565e+00    5.2765393e-03
-1.9322392e+00    7.9097378e-03
-1.9322150e+00    1.0542882e-02
-1.9321840e+00    1.3175954e-02
-1.9321460e+00    1.5808933e-02
-1.9321011e+00    1.8441803e-02
-1.9320494e+00    2.1074543e-02
-1.9319907e+00    2.3707137e-02
-1.9319251e+00    2.6339567e-02
-1.9318527e+00    2.8971816e-02
-1.9317733e+00    3.1603864e-02
-1.9316870e+00    3.4235692e-02
-1.9315939e+00    3.6867282e-02
-1.9314938e+00    3.9498616e-02
-1.9313869e+00    4.2129674e-02
-1.9312731e+00    4.4760440e-02
-1.9311523e+00    4.7390894e-02
-1.9310247e+00    5.0021020e-02
-1.9308902e+00    5.2650798e-02
-1.9307488e+00    5.5280211e-02
-1.9306005e+00    5.7909242e-02
-1.9304454e+00    6.0537871e-02
-1.9302833e+00    6.3166080e-02
-1.9301144e+00    6.5793850e-02
-1.9299385e+00    6.8421163e-02
-1.9297558e+00    7.1048000e-02
-1.9295662e+00    7.3674344e-02
-1.9293697e+00    7.6300176e-02
-1.9291664e+00    7.8925478e-02
-1.9289562e+00    8.1550232e-02
-1.9287391e+00    8.4174419e-02
-1.9285151e+00    8.6798022e-02
-1.9282842e+00    8.9421023e-02
-1.9280465e+00    9.2043403e-02
-1.9278019e+00    9.4665145e-02
-1.9275504e+00    9.7286230e-02
-1.9272921e+00    9.9906640e-02
-1.9270269e+00    1.0252636e-01
-1.9267548e+00    1.0514536e-01
-1.9264759e+00    1.0776363e-01
-1.9261902e+00    1.1038116e-01
-1.9258975e+00    1.1299792e-01
-1.9255980e+00    1.1561389e-01
-1.9252917e+00    1.1822906e-01
-1.9249785e+00    1.2084342e-01
-1.9246585e+00    1.2345693e-01
-1.9243316e+00    1.2606958e-01
-1.9239979e+00    1.2868136e-01
-1.9236573e+00    1.3129225e-01
-1.9233099e+00    1.3390222e-01
-1.9229557e+00    1.3651127e-01
-1.9225946e+00    1.3911936e-01
-1.9222267e+00    1.4172650e-01
-1.9218519e+00    1.4433265e-01
-1.9214704e+00    1.4693779e-01
-1.9210820e+00    1.4954192e-01
-1.9206868e+00    1.5214501e-01
-1.9202848e+00    1.5474704e-01
-1.9198760e+00    1.5734800e-01
-1.9194603e+00    1.5994786e-01
-1.9190379e+00    1.6254662e-01
-1.9186086e+00    1.6514424e-01
-1.9181725e+00    1.6774072e-01
-1.9177297e+00    1.7033604e-01
