MAXlevel 15, Oh 3.0e-02, Oha 6.0e-04, Bo 0.000, zWall 4, Ldomain 10, drillAMR 1
i dt t ke maxlevel r_b z_b r_base z_base q_jet q_l
0 8.646841e-09 0.00000000 0.000000e+00 14 1.968384e-02 -9.155273e-05 2.136230e-03 -2.020203e+00 0.000000e+00 0.000000e+00
1 8.646841e-09 0.00000001 1.355588e-12 13 1.922607e-02 -2.008057e-02 3.051758e-04 -2.020203e+00 0.000000e+00 0.000000e+00
2 5.540474e-07 0.00000056 8.049454e-10 13 1.892090e-02 -2.038574e-02 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
3 2.048517e-06 0.00000261 7.582296e-09 13 1.892090e-02 -2.038574e-02 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
4 3.339974e-06 0.00000595 3.073210e-08 13 1.892090e-02 -2.038574e-02 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
5 4.554510e-06 0.00001051 8.796075e-08 13 1.892090e-02 -2.038574e-02 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
6 5.605550e-06 0.00001611 1.939191e-07 13 1.892090e-02 -2.038574e-02 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
7 6.673274e-06 0.00002278 3.637690e-07 13 1.770020e-02 -8.544922e-04 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
8 7.414749e-06 0.00003020 5.999290e-07 13 1.770020e-02 -8.544922e-04 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
9 8.403382e-06 0.00003860 9.186086e-07 13 1.770020e-02 -8.544922e-04 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
10 9.049796e-06 0.00004765 1.312641e-06 13 1.770020e-02 -8.544922e-04 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
11 9.872505e-06 0.00005752 1.791800e-06 13 1.770020e-02 -8.544922e-04 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
12 9.872505e-06 0.00006740 2.313395e-06 12 1.770020e-02 -8.544922e-04 6.103516e-04 -2.019897e+00 0.000000e+00 0.000000e+00
13 1.110657e-05 0.00007850 2.840368e-06 12 1.831055e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
14 1.295766e-05 0.00009146 3.531485e-06 12 1.831055e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
15 1.619708e-05 0.00010766 4.486672e-06 12 1.586914e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
16 1.619708e-05 0.00012386 5.478497e-06 12 1.586914e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
17 1.619708e-05 0.00014005 6.492050e-06 12 1.586914e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
18 1.619708e-05 0.00015625 7.511219e-06 12 1.586914e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
19 2.717391e-05 0.00018342 9.178911e-06 12 1.586914e-02 -2.685547e-03 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
20 2.846791e-05 0.00021189 1.090337e-05 12 1.586914e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
21 2.996622e-05 0.00024186 1.266105e-05 12 1.586914e-02 -2.441406e-04 1.220703e-03 -2.019287e+00 0.000000e+00 0.000000e+00
